Gold,Level,Minions,Jungle_minions,Kills,Assists,Deaths,Plates,Towers,Dragons,Heralds,Sight_wards,Control_wards,Gold_diff,Win
29783,9.2,344,76,18,20,6,8,2,0,0,21,6,8857,1
33446,9,323,75,28,36,11,7,1,0,0,22,6,9335,1
24111,7.8,263,75,11,13,28,0,0,1,0,23,2,-9335,0
26888,8.8,313,83,16,19,15,2,0,1,0,23,9,-678,1
27566,9,335,70,15,20,16,2,0,1,0,18,4,678,0
21591,8.2,274,76,7,4,22,1,0,0,0,24,8,-9637,0
31228,9,337,92,22,31,7,10,2,1,0,23,10,9637,1
26411,9.2,391,107,9,9,7,7,1,1,0,21,5,3392,1
23019,8.4,329,76,7,9,9,1,0,1,0,23,2,-3392,0
25190,9,377,100,7,12,10,1,0,0,0,22,7,72,0
25118,9,368,76,10,14,7,2,0,2,0,25,4,-72,1
29640,9.6,375,81,17,9,11,11,1,1,0,18,5,3637,1
26003,8.8,314,96,11,14,17,5,0,0,0,17,7,-3637,0
23419,8.6,327,70,10,7,18,1,0,0,0,24,8,-5987,1
29406,9.2,338,93,18,20,10,6,0,2,0,26,7,5987,0
25663,8.8,388,88,10,5,12,4,0,0,0,24,7,66,0
25597,9.2,324,79,12,15,10,2,0,2,0,25,5,-66,1
25412,9,354,89,11,11,19,1,0,0,0,20,7,-4746,0
30158,9.4,355,98,19,19,11,4,1,1,0,23,5,4746,1
25890,8.4,310,75,11,17,24,1,0,1,0,19,6,-7845,0
33735,9.6,365,104,24,28,11,5,1,1,0,24,10,7845,1
28098,8.8,310,83,15,16,13,5,1,0,0,20,1,1423,0
26675,8.6,325,68,13,14,15,6,1,2,0,14,5,-1423,1
27135,9.2,382,102,10,8,8,6,1,0,0,21,6,2040,1
25095,8.8,380,82,8,11,10,6,0,1,0,18,2,-2040,0
27248,9,368,86,12,15,7,3,1,2,0,19,7,4227,1
23021,8.2,332,74,7,11,12,2,0,0,0,19,4,-4227,0
24871,8.8,352,84,11,15,8,1,0,1,0,23,9,-515,0
25386,8.6,381,76,8,9,11,7,0,0,0,21,8,515,1
29264,9.2,341,84,20,30,7,4,1,1,0,30,9,4728,1
24536,8.8,381,68,7,11,20,1,0,0,0,23,8,-4728,0
24793,8.6,336,64,11,7,17,5,0,0,0,20,10,-2526,0
27319,9,334,72,17,20,11,3,0,1,0,19,8,2526,1
25538,9,350,88,9,12,10,1,0,1,0,23,9,-100,1
25638,9.4,378,84,10,12,9,3,0,1,0,27,3,100,0
26323,8.4,303,86,16,14,21,2,0,0,0,14,5,-3595,0
29918,9.4,338,88,21,20,16,3,0,1,0,16,5,3595,1
27019,8.6,286,74,17,18,16,3,1,1,0,30,7,-1605,0
28624,8.8,322,62,16,16,17,6,1,1,0,27,6,1605,1
23494,8.4,308,64,7,8,24,1,0,0,0,27,4,-10322,0
33816,9.6,382,74,24,15,7,10,4,1,0,18,5,10322,1
29353,9,361,80,17,18,6,7,1,1,0,26,6,6619,1
22734,8.2,348,64,6,5,17,2,0,0,0,18,8,-6619,0
27925,9.2,345,86,15,18,13,5,0,1,0,26,15,1555,0
26370,9,346,82,13,13,15,3,0,0,0,22,2,-1555,1
27297,8.4,307,65,15,15,15,4,1,0,0,19,7,596,1
26701,8.4,323,75,15,18,15,3,0,1,0,24,4,-596,0
26265,9,341,94,12,11,12,1,0,1,0,19,8,658,0
25607,9.2,366,68,12,13,12,3,0,0,0,25,8,-658,1
23174,7.8,248,64,9,9,20,1,0,0,0,25,6,-7044,0
30218,8.8,350,61,20,24,9,6,2,0,0,27,9,7044,1
26934,8.8,316,82,15,14,9,1,1,2,0,23,10,1389,0
25545,8.6,361,73,9,15,15,5,1,0,0,19,6,-1389,1
28603,9.2,341,69,17,18,8,6,1,1,0,24,6,6283,1
22320,8.4,299,78,8,9,17,0,0,0,0,24,3,-6283,0
28120,9.2,351,92,15,10,14,6,1,1,0,25,5,1538,0
26582,9.2,370,67,14,18,15,4,1,1,0,23,9,-1538,1
31632,9.4,354,96,19,17,8,10,2,1,0,23,9,6773,1
24859,8.6,371,67,8,7,19,1,0,1,0,21,5,-6773,0
29958,9.2,373,91,20,21,10,3,0,2,0,17,6,6006,1
